number,company,symbol,ytd_return
,,,
1,NVIDIA CORP,,   59.71%
2,META PLATFORMS INC CLASS A,,   36.10%
3,ELI LILLY + CO,,   32.42%
4,CATALENT INC,,   29.74%
5,RALPH LAUREN CORP,,   29.67%
6,TAPESTRY INC,,   29.37%
7,UBER TECHNOLOGIES INC,,   27.27%
8,JUNIPER NETWORKS INC,,   25.78%
9,APPLIED MATERIALS INC,,   25.59%
10,VIATRIS INC,,   24.01%
11,HOWMET AEROSPACE INC,,   21.69%
12,PROGRESSIVE CORP,,   21.53%
13,GENERAL ELECTRIC CO,,   21.26%
14,NETFLIX INC,,   20.70%
15,WR BERKLEY CORP,,   20.43%
16,LAM RESEARCH CORP,,   19.85%
17,ADVANCED MICRO DEVICES,,   19.40%
18,DAVITA INC,,   19.28%
19,WALT DISNEY CO/THE,,   19.26%
20,HARTFORD FINANCIAL SVCS GRP,,   18.66%
21,SOUTHWEST AIRLINES CO,,   18.25%
22,BROWN + BROWN INC,,   18.20%
23,MERCK + CO. INC.,,   18.18%
24,EATON CORP PLC,,   18.05%
25,STRYKER CORP,,   17.70%
26,KLA CORP,,   17.64%
27,ARCH CAPITAL GROUP LTD,,   17.52%
28,TRANSDIGM GROUP INC,,   17.38%
29,INGERSOLL RAND INC,,   17.35%
30,BROADCOM INC,,   17.28%
31,GE HEALTHCARE TECHNOLOGY,,   17.20%
32,UNITED RENTALS INC,,   16.98%
33,FORTINET INC,,   16.86%
34,FORTIVE CORP,,   16.83%
35,TRANE TECHNOLOGIES PLC,,   16.78%
36,CHIPOTLE MEXICAN GRILL INC,,   16.33%
37,WW GRAINGER INC,,   16.28%
38,ARISTA NETWORKS INC,,   16.23%
39,MARATHON PETROLEUM CORP,,   16.23%
40,TRIMBLE INC,,   16.18%
41,LEIDOS HOLDINGS INC,,   16.12%
42,CENCORA INC,,   16.05%
43,WASTE MANAGEMENT INC,,   15.83%
44,AMERICAN EXPRESS CO,,   15.81%
45,HCA HEALTHCARE INC,,   15.71%
46,TRAVELERS COS INC/THE,,   15.53%
47,ABBVIE INC,,   15.38%
48,BOSTON SCIENTIFIC CORP,,   15.33%
49,PARKER HANNIFIN CORP,,   15.22%
50,INTUITIVE SURGICAL INC,,   15.09%
51,VULCAN MATERIALS CO,,   15.01%
52,AMAZON.COM INC,,   15.00%
53,PACCAR INC,,   14.95%
54,MONOLITHIC POWER SYSTEMS INC,,   14.92%
55,BERKSHIRE HATHAWAY INC CL B,,   14.71%
56,CORTEVA INC,,   14.40%
57,THE CIGNA GROUP,,   14.31%
58,DIAMONDBACK ENERGY INC,,   14.21%
59,ALLSTATE CORP,,   14.16%
60,SALESFORCE INC,,   14.16%
61,BUILDERS FIRSTSOURCE INC,,   14.08%
62,WILLIS TOWERS WATSON PLC,,   14.02%
63,CONSTELLATION ENERGY,,   13.97%
64,FISERV INC,,   13.64%
65,ULTA BEAUTY INC,,   13.54%
66,ALIGN TECHNOLOGY INC,,   13.45%
67,WALMART INC,,   13.42%
68,WYNN RESORTS LTD,,   13.31%
69,EDWARDS LIFESCIENCES CORP,,   12.98%
70,COSTCO WHOLESALE CORP,,   12.92%
71,TRACTOR SUPPLY COMPANY,,   12.87%
72,JACOBS SOLUTIONS INC,,   12.85%
73,CHUBB LTD,,   12.76%
74,FASTENAL CO,,   12.71%
75,REGENERON PHARMACEUTICALS,,   12.64%
76,INTL BUSINESS MACHINES CORP,,   12.58%
77,MASCO CORP,,   12.44%
78,HUBBELL INC,,   12.36%
79,TARGA RESOURCES CORP,,   12.31%
80,MCKESSON CORP,,   12.14%
81,REPUBLIC SERVICES INC,,   12.10%
82,FIDELITY NATIONAL INFO SERV,,   12.09%
83,SYNOPSYS INC,,   11.81%
84,O REILLY AUTOMOTIVE INC,,   11.79%
85,VALERO ENERGY CORP,,   11.61%
86,CADENCE DESIGN SYS INC,,   11.50%
87,HILTON WORLDWIDE HOLDINGS IN,,   11.49%
88,PHILLIPS 66,,   11.39%
89,DOMINO S PIZZA INC,,   11.35%
90,MASTERCARD INC   A,,   11.25%
91,AMERICAN AIRLINES GROUP INC,,   11.21%
92,MOLINA HEALTHCARE INC,,   11.18%
